path	sentence
radio_novela_capitulo_I_conductor_008.wav	imaynallan wawqipanaykuna kunan p'unchawpaq qankunapas riki hatun ñapakuyta chaskiykapuwanchis nuqaykupis ña kutirimuspaña kashayku riki kay hermana wasi radio onda azul kay pacha paqariypi purimuspa kashayku ahinaqa watukamuspa kawanchis riki panachanchis luisa payqa chayamuspa kasqa
radio_novela_capitulo_I_conductor_009.wav	haqaykama na llaqtamantapacha hinaqa riki paypas maskhaykuspa kashan yawarmasinkunata haqay pampa kancha aylluman chaypichá chhikaqa kaykunata kusata uyarinakuspa willanakuspa kasunchis
radio_novela_capitulo_I_conductor_012.wav	llakikuymi kay willakuy karimuspa kashan ah hayk'a watañataq mana rikunkichu taytaykita
radio_novela_capitulo_I_conductor_014.wav	kunanqa suyakuspa kasunchis riki kay wahakuyta haqay pampa kancha chay chiqanpin riki kusata uyarikamuspa kanku kay rimayninchispaq riki chiqaqta haqaypiqa purimuspa kan ah chaykunapi chikaqa uyarispa kasunchis kay wahakuypis ña wayk'umuspaña kashan
radio_novela_capitulo_I_conductor_015.wav	kay wahakuy riki waykumuspa kan hinaqa ima kusikuymi riki panachanchis gladys paypis riki riqsirqamuspa kan kunkachanmanta maytaq panachanchis luisata chayta nispa chikaqa maytaq munay takiychawan puriykuspa kasunchis hinaspa riki kutimusunchis astawan imaymana willakuykunawan
radio_novela_capitulo_II_Carlos_048.wav	willarikusayki juliakaq hampina wasipin kunan llank'ashani
radio_novela_capitulo_II_Carlos_049.wav	kunay p'unchaykuna manan llank'ashanichu chayrayku hamushani waturikamushayki imaynallan kashanki
radio_novela_capitulo_II_Carlos_052.wav	may kusacha kanman hamunman hinaqa ay ama chaypi sayaychu tiyay hamuy hamuy hamuy automan siqamuy tiyay
radio_novela_capitulo_II_hampikamaq_032.wav	paqarin kaymanta lluqsipunki wiraqucha juvenal
radio_novela_capitulo_II_hampikamaq_034.wav	ama waqaychu ama chaymantaqa llakikunkichu nuqa pampa kanchaman ambulancia autopi apasaykichis gladyschaqa tiyaymi
radio_novela_capitulo_II_hampikamaq_035.wav	willarisayki huq chikitanta kay p'unchaykuna kay hampina wasiman churaykuwanku
radio_novela_capitulo_II_hampikamaq_037.wav	allintapuni chayta chaninchashanki sipascha luisa chayrayku tata juvenal sipascha luisa yacharinanchis waq unquykuna ukhurimunqa hinaqa wakichikunanchis llapanchis
radio_novela_capitulo_II_narradora_005.wav	chay paqarinta juvenal pampa cancha auto sayana chhiqanman sapallan hatun automan siqarqan
radio_novela_capitulo_II_narradora_006.wav	puriysinaypaqmi anchata payqa mink'akuwarqan ichaqa huq p'unchaw ñawpaqllata anchata ch'aqwaykurqayku
radio_novela_capitulo_II_narradora_007.wav	sapallan juliaca llaqtata hamurqan mauk'aq hatun autota payqa rantinan karqan dolar nisqa tiqraspa qhipanta
radio_novela_capitulo_II_narradora_008.wav	ferrocarril sutiyuq k'ikllunta purispataq chhaqaypi huq pullirayuq sumaq warmi payman chimpaykurqan
radio_novela_capitulo_II_narradora_009.wav	wiraqucha maypitaq hatun k'iqllu pampa tarikun
radio_novela_capitulo_II_narradora_011.wav	manchakuni wakinkunaqa ninku kay mototaxis nisqakuna violadorkunas ama hina kaychu puriysiway wawaykirayku ruray
radio_novela_capitulo_II_narradora_013.wav	chay taksiman siqarqusun nuqa qulqita churasaq siqaykamuy hinaspa qan kutimpunki
radio_novela_capitulo_II_narradora_014.wav	hinataq juvenalta martillowan umapi takaspa yuyaynintaraq chinkarquchin
radio_novela_capitulo_II_narradora_015.wav	chaypitaq wayaqanmanta lliw qulqinta urqurquspa kasqaku
radio_novela_capitulo_II_narradora_016.wav	hinataq Cusco lluqsinaman q'upa wiqch'una pataman payta wiqch'urqanku
radio_novela_capitulo_II_narradora_017.wav	imatataq chaypi wiqch'unku chuy yanapawaychis
radio_novela_capitulo_II_narradora_018.wav	qhipantin p'unchawtaq pampa k'ancha ayllupi huq tukuy runa musphachikuq willakuyta uyarirqayku
radio_novela_capitulo_II_narradora_024.wav	onda azul rimana wayra wasiq facebookninpaq ukhunta juvenalpaq kikinchasqan rikukurqan
radio_novela_capitulo_II_narradora_025.wav	hampina wasipi puñunanpi wiqch'usqa kashkarqan uyanqa yawarchasqa hinallataq umanpas ancha kuchusqa rikukushkarqan
radio_novela_capitulo_II_narradora_026.wav	juliaca llaqta wasimasikuna mana amachankumanchu karqan hinaqa wañunmanpaschari karqan
radio_novela_capitulo_II_narradora_028.wav	juvenalqa kinsa p'unchawta riqch'arinanpaq qhiparirqan
radio_novela_capitulo_II_narradora_029.wav	oxígeno nisqataq sinqanman churaykusqa kashkarqan hinataq pisi pachamanta pisimanta pisi uhuyta qallarirqan
radio_novela_capitulo_II_narradora_030.wav	huq qanchischawtan hampina wasipi kashkarqan
radio_novela_capitulo_II_narradora_036.wav	taytáy unquy pachaqa manan tukukunchu kunanmi nuqa tukuy vacunaykikunata churachisqayki
radio_novela_capitulo_II_narradora_038.wav	ch'isimanqa huq ambulancia juvenalpaq wasinman chayamurqan
radio_novela_capitulo_II_narradora_039.wav	chay pachallapi nuqa qayllanpi tarikurqani hinataq hap'iqaq phawarqani ichaqa phiñasqaraq kashkarqani mit'a qillqapi paypaq kikinchasqa uyan lluqsimurqani
radio_novela_capitulo_II_narradora_040.wav	chaypitaq nirqan riqch'ayniyuq suwa warmikunan uma muyuchikuq mana allin hampikunata uqyarquchirqanku nispa
radio_novela_capitulo_II_narradora_043.wav	hampikamayuq hina luisa autumanta yaqa q'ipispa apaqanku
radio_novela_capitulo_II_narradora_044.wav	luisa wasinman phawan hina huq intimanta hark'anata hurqun inti mana ruphananpaq
radio_novela_capitulo_II_narradora_045.wav	hinaspataq huq tawnata purinanpaq haywahatan wasiman saqispataq hampikamaqqa kutipurqan
radio_novela_capitulo_II_narradora_046.wav	hinataq asiyninmanta riqsihatarqani carlos sobrinoy wawaymi karqan
radio_novela_capitulo_II_narradora_047.wav	yaqapas kinsa watamanta pampa kancha aylluman kutimurqan
radio_novela_capitulo_II_narradora_050.wav	ñuqaqa llakisqa kashakarqani walder primoyki lima llaqtapi samay pachapi tarikun taytanwan payqa kashan
radio_novela_capitulo_II_narradora_051.wav	allipaschá kay p'unchawkuna chayamunman nispa nishkarqani
radio_novela_capitulo_II_runa_002.wav	yaw qulqiyuq runa 20.000 misti qulqi dólar nisqata tiqrariway
radio_novela_capitulo_II_runa_010.wav	huq moto taxi nisqata hap'iy hinaspa kikin hatun k'iqllupi chay pampapi saqisunki
radio_novela_capitulo_II_runa_012.wav	ay sipascha ima sasachaymanchá waykuchishawanki
radio_novela_capitulo_II_runa_019.wav	huq qharita 40 watayuqta tariykuspa kasqanku mana sutiyuqta ña payqa tarikuspa kasqa haqay hampina wasipi ah qayna ch'isimantaña
radio_novela_capitulo_II_runa_020.wav	paypaq kawsayninqa sasachaymi tarikuspa kan paytaqa umapi k'irirquspa kasqanku
radio_novela_capitulo_II_runa_021.wav	kay millay runakuna sasachaypi ya kay kawsaynintapis churarquspa kanku hinaqa ukhuchantapis maytaq wikch'umuspa kasqanku haq'ay Cuscu huch'uy suyu llaqta purinapaq
radio_novela_capitulo_II_runa_022.wav	kayqa tarikuspa kan juliaca llaqtapiyá payqa kasqa rakhu runa yana chuqchayuq hinaqa yana ñawiyuq kallasqataq chaymanta p'achasqa kasqa anqa pantaluyuq q'umir casacayuq chaymantan riki waharikuykuna karimuspa kashan
radio_novela_capitulo_II_runa_023.wav	mayqinkunachus yawarmasinkuna qankuna riki riqsiykuwaqchis kay k'irisqata maychus nuqayku riqsichimusqa kashaykichis kay redes sociales kay rimana wasi radio onda azulpaq sunqunmantapacha kay willakuykuna
radio_novela_capitulo_II_runa_041.wav	ima ninki qhariykikunapaschá karqan yanqamanta waqtawanku hina qulqita suwawanku anchata llaqtata purinki
radio_novela_capitulo_II_warmi_027.wav	ay taytalláy imanarqusunkichistaqri riqch'ariy
radio_novela_capitulo_II_warmi_031.wav	ama llakikuychu taytáy mamá gladysmi qhawashanqa uywaykikunataqa nuqataq qanta qhawashasqayki
radio_novela_capitulo_II_warmi_033.wav	añay hampikamaq chhikaqa mama gladystachá wahasaq hamunanpaq hinaspa pampa kanchaman camionninpi apanawankupaq
radio_novela_capitulo_II_warmi_042.wav	imatataq rimashanki waq'achu kutinki imataq ya puriy kutiriy chaymanta rimasunchis
radio_novela_capitulo_II_wayna_001.wav	dólar dólar dólar nisqata tiqrachini dólar qan hamuy wiraqucha
radio_novela_capitulo_II_wayna_003.wav	allin waranqa phisqa waranqa chunka waranqa ishkay chunka waranqa imatacha rantikunki
radio_novela_capitulo_II_wayna_004.wav	pampacháway wiraqucha kutimullankipuni
radio_novela_capitulo_I_narradora_001.wav	lima llaqtapiqa unquy pachapiqa manan ima llank'anapas karqanchu chayrayku wawayta aparikuspa llaqtayman kutimuyta munarqani
radio_novela_capitulo_I_narradora_002.wav	chakipi purispa yaqa yaqaraq yaraqaymanta sayk'uymantapas wañuyku pampakancha aylluman chayaspataq ayamuray pacha qayllamusqanta rikuni
radio_novela_capitulo_I_narradora_003.wav	ichaqa mana riqsisqa runakunapaqqa hark'asqa karqan waykuna kusikunapaqqa riqsihatawanku hina hap'iqawanku mikhuykuna hap'iqanapaq hina huq qanchis chaw qhatunata urichisqanchis mikhuykuna qhatunapaq paqarichiyku
radio_novela_capitulo_I_narradora_004.wav	puqllay raymikunataq hark'asqa karqan llaqta raymikunapas ichaqa kushkalla hark'akuyku
radio_novela_capitulo_I_narradora_005.wav	ichaqa ishkay unquy pachapi llaqta raymipi tusunawan atipachikuyku hinataq covid-19 unquy awichuykutahina taytamamaykuta aparikun
radio_novela_capitulo_I_narradora_006.wav	maypachachus tawa chunka hark'asqa pacha tukukuqtinqa pampakancha ayllupi kawsaykunaqa ima ñak'ayta kikin kawsaykunaman kutirirqan ichaqa ancha ukhu saruyniykuta saqiwarqanku
radio_novela_capitulo_I_narradora_007.wav	chaymantan willakuyta munaykichis sutiymi gladys kashan qankuna riqsiwankichisña sapa paqarin rimana wayra wasita uyarini qhipa willakuykunata yachanapaq
radio_novela_capitulo_I_narradora_010.wav	añay turay arí juvenal mamani taytaytan mashkhashani pampa kancha ayllupin tiyan pikunachus riqsiqkuna willaripuwaychis
radio_novela_capitulo_I_narradora_011.wav	wahakuyniykichistan suyasaq facebookmanta tukuy pampa kancha runakunaman qhilqamurqani ichaqa manan pipas kutichimuwanchu
radio_novela_capitulo_I_narradora_013.wav	ima sasachakuykunachá karqan mamaywan manaraqmi riqsinichu
radio_novela_capitulo_I_narradora_016.wav	chay k'uchi chaw p'unchaw punu llaqtapiqa qhatuna karqan camión automan papa kutamakunata anihu aychata qarakunata hina kisuta aparikuspay purirqani
radio_novela_capitulo_I_narradora_017.wav	rimana wayra wasiman chayamuqtiytaq luisata tarini huq puquq t'ikata hina juana maman hina sumaq sipas karqan t'iqi yana pantalonwan churaykusqa anqas casaqa nisqayuq hina zapatillayuq kashkarqan
radio_novela_capitulo_I_narradora_018.wav	luisa imaynalla nuqaq sutiymi gladys mamayki kikillanpuni kasqanki
radio_novela_capitulo_I_narradora_019.wav	ay haku luisa haku autoyman autoypin hamuni haku mikhurqamusunchis
radio_novela_capitulo_I_narradora_020.wav	chaymanta camión autoyman aparikuni tutamanta chakin hillita qhatuna hatun wasipi mikhumuyku
radio_novela_capitulo_I_warmi_021.wav	casera kisu aycha papa apakuy caserita chaqramanta mankaman apakuy
radio_novela_capitulo_I_warmi_022.wav	rantiy masiy allichaq kisukunata apakuy hawa suyupi qhatuna kisukunan
radio_novela_capitulo_I_warmi_023.wav	kanmi huq wayna qulqita mañashkan venezolano nisqa kan mirayninqa qulqi waqaychana wasimantapas pisin nuqa sayaykapusayki
radio_novela_capitulo_I_warmi_024.wav	arí illapas chaymi astawan yachay wasipi llank'anakuna qhatunata apayta munani
radio_novela_capitulo_I_warmi_025.wav	imaynachus ña yachaywasikuna llank'ayta qallarinqaña chaypaq
radio_novela_capitulo_I_warmi_027.wav	ama mana niychu qhatuqmasiy nuqawanmin kay wayna llank'an hinaqa waranqa phisqa pachaqniyuq qulqita quway
radio_novela_capitulo_I_warmi_029.wav	kinsa killapi hinari qhilqa raphikunatachu kunan siqisaq
radio_novela_capitulo_I_wayna_026.wav	papayqa venezuelapi wankuyuq karqan kunantaq kay perupiqa prestamota ruwashayku pisi interesllawan kaypiqa wankukuna ashkhata suwakunku mamáy
radio_novela_capitulo_I_wayna_028.wav	hayk'a timpupi pagayta munanki mamáy
entrevista_SC_warmi_001.wav	napaykuykichis tukuy munakuy sunquwan kay viernes p'unchawpiñan kashanchis ichaqa hatun mink'arikuymi chayaykamun aswanpas riqsirillasuntaq
entrevista_SC_warmi_002.wav	pitaq yachachiq danny bernales
entrevista_SC_warmi_003.wav	qankunapas uyarinkichá redes socialis pipas anchatataq payta paymantaqa yacharirqanchis hatun llank'ayta qispirachimun turay
entrevista_SC_warmi_004.wav	yachachiq imaynalla
entrevista_SC_warmi_006.wav	ima munay payqa tura-ñañaykuna ñuqanchis payta riqsirinanchispaq hatun llallirakuymi tiqsi muyupi kan
entrevista_SC_warmi_007.wav	chay ukhupin payqa kashan phichqa chunqa aswan allin chanin yachachiqkunata riqsirichinku chaypin payqa karan global teacher prize sutichasqa imaynatan chayman chayaykurqanki turay
entrevista_SC_warmi_015.wav	ima munay chaypiqa chay proyectota qispichisqaykirayku hinaqa qan chaqay francia suyuman chayaykunki riqsisqa kanaykipaq chay chanin llank'arisqaykimanta
entrevista_SC_warmi_016.wav	turay hinari imaynamantan qan yuyaymanarqanki kay llank'ayta qispichinaykipaq
entrevista_SC_warmi_017.wav	imachus sasachay karan ayllupi yachaywasipi imaynataq
entrevista_SC_warmi_034.wav	riqsirichillankitaq llapa llaqtakunata ayllukunata ichaqa manan chayllachu ña tura-ñañaykuna yuyaymanayqa yachay hap'iqayqa ancha allinpuni
entrevista_SC_warmi_035.wav	yachachiqpa umalliqninwan umalliyninwan nisunchá paypas wakin yachachiq-masinkunatapas yacharichillantaq
entrevista_SC_warmi_036.wav	wakin chaqay conchacota ayllupipaq riki yachachiqkuna p'achan p'acharisqa qhichwa simita rimakuspa wawachakunawan kuska munay llank'aykunata qispirichishallankutaq í
entrevista_SC_warmi_045.wav	aswanta tanqarillanmanta hi chanimi turay chikari qan kay llank'ayniyki patamanta
entrevista_SC_warmi_046.wav	imatantaq kay ñapas watapas tukucharqushanña hinari imataq allin karqun ichapasqan ñá qhawarinkiña kayta ahinata tarirariy kunanqa ahinaña nispa
entrevista_SC_warmi_055.wav	anchhallinpuni kay ñuqanchis wakichiymantapacha chay chanin llank'arisqaykimanta riqsikuykichis turachay hinallataq tanqariykichis
entrevista_SC_warmi_056.wav	qhipa kutillanpi ñati watana tiparqushawanchis imatan mink'ariwaq llapa llaqta runa-masinchiskunaman peru suyutapacha
entrevista_SC_warmi_060.wav	kusa turachay allipuni danny bernales paymi karan tura-ñañaykuna aswanqa ahina llanq'aykunatayá ñuqanchispas peru suyunchispi tanqarisunchis
entrevista_SC_warmi_061.wav	mink'arikuymi kashan paqarin sábado p'unchawta iskay chunka phichqayuq p'unchawta yuyariykun día internacional de la eliminación de la violencia de género nisqa
entrevista_SC_warmi_062.wav	imarayku qharipi warmipi k'irinakuykunataq kashan qhipa willakuykunaman hinaqa aurora programa willakuynniman hina centro de emergencia wasikunapis centro de emergencia mujer wasikunapis
entrevista_SC_warmi_063.wav	iskay chunka phichqayuq waranqa denunciakunatas chaskiriranku octubre killakamalla warmikuna k'irisqa kasqankumantapacha
entrevista_SC_warmi_064.wav	kaykunamanta chunka phichqayuq waranqa tawapachak runa-masinchiskunan kay seksual usuchinakuypi kashan
entrevista_SC_warmi_065.wav	qhari qhari warmi wawachakunapi q'aku wayna-sipachakunapi kay hina sasachakuykunaqa manañapunin kanmanñachu tura-ñañaykuna
entrevista_SC_warmi_066.wav	hina kaqtinqa llapallamantayá kay sasachakuykunataqa tukuchipusunchis makinchispin kashan
entrevista_SC_warmi_067.wav	chay mink'arikuymi kay tv peru ñuqanchis wakichimantapacha chayan kamachikaqa tupananchiskama
nuqanchik_2025_01_07_089.wav	utqhayllamanta chhikaqa wayna-sipaskunatapas mink'arisunchis turachallay wakmanta kay huñunakuyman chayakamunankupaq hinallataq llapa sullk'a suyunchiskuna huñunakushanku kay tijeras tusuywan chaymi kusikuy
nuqanchik_2025_01_07_091.wav	qankunaq kawsayniykichista llaqtaman aparishanchis suqta chunka qanchisniyuq wataña
nuqanchik_2025_01_07_092.wav	tusurikusunchá wakmanta ña tukuykunapaqña chaynachu kanqa
Rimasun_DanzaqpaVidanAyacuchomanta_001.wav	rimasun kan huk audioprograma runasimi rimanakunamanta kay programa kan runasimi rimaqkunapaq estudiantekunapaq ima
